Population,Plant,Trait,TransplantSite,TraitValue
Clayton,3965-1,StemLength,Stanford,68
Clayton,3965-1,StemLength,Mather,0
Clayton,3965-1,StemLength,Timberline,0
Clayton,3965-1,NumStems,Stanford,9.3
Clayton,3965-1,NumStems,Mather,0
Clayton,3965-1,NumStems,Timberline,0
Clayton,3965-2,StemLength,Stanford,79
Clayton,3965-2,StemLength,Mather,0
Clayton,3965-2,StemLength,Timberline,0
Clayton,3965-2,NumStems,Stanford,21.3
Clayton,3965-2,NumStems,Mather,0
Clayton,3965-2,NumStems,Timberline,0
Clayton,3965-3,StemLength,Stanford,68
Clayton,3965-3,StemLength,Mather,33
Clayton,3965-3,StemLength,Timberline,0
Clayton,3965-3,NumStems,Stanford,18
Clayton,3965-3,NumStems,Mather,6.7
Clayton,3965-3,NumStems,Timberline,0
Clayton,3965-4,StemLength,Stanford,74
Clayton,3965-4,StemLength,Mather,28
Clayton,3965-4,StemLength,Timberline,0
Clayton,3965-4,NumStems,Stanford,12
Clayton,3965-4,NumStems,Mather,7.5
Clayton,3965-4,NumStems,Timberline,0
Clayton,3965-5,StemLength,Stanford,69
Clayton,3965-5,StemLength,Mather,43
Clayton,3965-5,StemLength,Timberline,0
Clayton,3965-5,NumStems,Stanford,19.7
Clayton,3965-5,NumStems,Mather,19
Clayton,3965-5,NumStems,Timberline,0
Clayton,3965-6,StemLength,Stanford,55
Clayton,3965-6,StemLength,Mather,0
Clayton,3965-6,StemLength,Timberline,0
Clayton,3965-6,NumStems,Stanford,12.3
Clayton,3965-6,NumStems,Mather,0
Clayton,3965-6,NumStems,Timberline,0
Clayton,3965-7,StemLength,Stanford,61
Clayton,3965-7,StemLength,Mather,47
Clayton,3965-7,StemLength,Timberline,0
Clayton,3965-7,NumStems,Stanford,15.7
Clayton,3965-7,NumStems,Mather,11.5
Clayton,3965-7,NumStems,Timberline,0
Clayton,3965-8,StemLength,Stanford,65
Clayton,3965-8,StemLength,Mather,36
Clayton,3965-8,StemLength,Timberline,0
Clayton,3965-8,NumStems,Stanford,17.7
Clayton,3965-8,NumStems,Mather,1.7
Clayton,3965-8,NumStems,Timberline,0
Clayton,3965-9,StemLength,Stanford,59
Clayton,3965-9,StemLength,Mather,0
Clayton,3965-9,StemLength,Timberline,0
Clayton,3965-9,NumStems,Stanford,9.3
Clayton,3965-9,NumStems,Mather,0
Clayton,3965-9,NumStems,Timberline,0
Clayton,3965-10,StemLength,Stanford,72
Clayton,3965-10,StemLength,Mather,0
Clayton,3965-10,StemLength,Timberline,0
Clayton,3965-10,NumStems,Stanford,15.3
Clayton,3965-10,NumStems,Mather,0
Clayton,3965-10,NumStems,Timberline,0
Clayton,3965-11,StemLength,Stanford,76
Clayton,3965-11,StemLength,Mather,30
Clayton,3965-11,StemLength,Timberline,0
Clayton,3965-11,NumStems,Stanford,17
Clayton,3965-11,NumStems,Mather,2
Clayton,3965-11,NumStems,Timberline,0
Clayton,3965-12,StemLength,Stanford,77
Clayton,3965-12,StemLength,Mather,44
Clayton,3965-12,StemLength,Timberline,0
Clayton,3965-12,NumStems,Stanford,12
Clayton,3965-12,NumStems,Mather,4
Clayton,3965-12,NumStems,Timberline,0
Clayton,3965-13,StemLength,Stanford,84
Clayton,3965-13,StemLength,Mather,50
Clayton,3965-13,StemLength,Timberline,0
Clayton,3965-13,NumStems,Stanford,19.3
Clayton,3965-13,NumStems,Mather,4.7
Clayton,3965-13,NumStems,Timberline,0
Clayton,3965-14,StemLength,Stanford,71
Clayton,3965-14,StemLength,Mather,42
Clayton,3965-14,StemLength,Timberline,0
Clayton,3965-14,NumStems,Stanford,20
Clayton,3965-14,NumStems,Mather,16
Clayton,3965-14,NumStems,Timberline,0
Clayton,3965-15,StemLength,Stanford,78
Clayton,3965-15,StemLength,Mather,37
Clayton,3965-15,StemLength,Timberline,0
Clayton,3965-15,NumStems,Stanford,21
Clayton,3965-15,NumStems,Mather,12
Clayton,3965-15,NumStems,Timberline,0
Clayton,3965-16,StemLength,Stanford,64
Clayton,3965-16,StemLength,Mather,22
Clayton,3965-16,StemLength,Timberline,0
Clayton,3965-16,NumStems,Stanford,12
Clayton,3965-16,NumStems,Mather,3
Clayton,3965-16,NumStems,Timberline,0
Clayton,3965-17,StemLength,Stanford,72
Clayton,3965-17,StemLength,Mather,33
Clayton,3965-17,StemLength,Timberline,0
Clayton,3965-17,NumStems,Stanford,10
Clayton,3965-17,NumStems,Mather,4
Clayton,3965-17,NumStems,Timberline,0
Clayton,3965-18,StemLength,Stanford,79
Clayton,3965-18,StemLength,Mather,48
Clayton,3965-18,StemLength,Timberline,0
Clayton,3965-18,NumStems,Stanford,18.3
Clayton,3965-18,NumStems,Mather,20
Clayton,3965-18,NumStems,Timberline,0
Clayton,3965-19,StemLength,Stanford,63
Clayton,3965-19,StemLength,Mather,42
Clayton,3965-19,StemLength,Timberline,0
Clayton,3965-19,NumStems,Stanford,15
Clayton,3965-19,NumStems,Mather,9
Clayton,3965-19,NumStems,Timberline,0
Clayton,3965-20,StemLength,Stanford,73
Clayton,3965-20,StemLength,Mather,35
Clayton,3965-20,StemLength,Timberline,0
Clayton,3965-20,NumStems,Stanford,26.3
Clayton,3965-20,NumStems,Mather,3.7
Clayton,3965-20,NumStems,Timberline,0
Clayton,3965-21,StemLength,Stanford,82
Clayton,3965-21,StemLength,Mather,43
Clayton,3965-21,StemLength,Timberline,0
Clayton,3965-21,NumStems,Stanford,21
Clayton,3965-21,NumStems,Mather,4.5
Clayton,3965-21,NumStems,Timberline,0
Clayton,3965-22,StemLength,Stanford,76
Clayton,3965-22,StemLength,Mather,41
Clayton,3965-22,StemLength,Timberline,0
Clayton,3965-22,NumStems,Stanford,38.7
Clayton,3965-22,NumStems,Mather,15.7
Clayton,3965-22,NumStems,Timberline,0
Clayton,3965-23,StemLength,Stanford,59
Clayton,3965-23,StemLength,Mather,32
Clayton,3965-23,StemLength,Timberline,0
Clayton,3965-23,NumStems,Stanford,11.7
Clayton,3965-23,NumStems,Mather,6
Clayton,3965-23,NumStems,Timberline,0
Clayton,3965-24,StemLength,Stanford,69
Clayton,3965-24,StemLength,Mather,57
Clayton,3965-24,StemLength,Timberline,0
